chr1	713935	713952	316	-5.576669e+00	-5.576669e+00
chr1	713953	713955	308	-5.553591e+00	-5.553591e+00
chr1	713956	713958	309	-5.664976e+00	-5.664976e+00
chr1	713959	713974	11	-6.770002e+03	-7.660058e+03
chr1	713975	713975	307	-4.826434e+00	-4.826434e+00
chr1	713976	713976	308	-4.826433e+00	-4.826433e+00
chr1	713977	713977	311	-4.826432e+00	-4.826432e+00
chr1	713978	713978	312	-4.826432e+00	-4.826432e+00
chr1	713979	713990	2	-5.499243e+03	-1.422104e+04
chr1	713991	713991	310	-4.133285e+00	-4.133285e+00
chr1	713992	713999	311	-4.207319e+00	-4.207319e+00
chr1	714000	714000	312	-4.133656e+00	-4.133656e+00
chr1	714001	714016	16	-3.354284e+03	-4.224007e+04
chr1	714017	714017	310	-3.440378e+00	-3.440378e+00
chr1	714018	714024	311	-3.614769e+00	-3.614769e+00
chr1	714025	714036	312	-3.474269e+00	-3.474269e+00
chr1	714037	714052	16	-1.678643e+03	-1.554286e+03
chr1	714053	714053	310	-2.756525e+00	-2.756525e+00
chr1	714054	714054	311	-2.968433e+00	-2.968433e+00
chr1	714055	714055	308	-3.195962e+00	-3.195962e+00
chr1	714056	714057	309	-2.990772e+00	-2.990772e+00
chr1	714058	714063	313	-2.770281e+00	-2.770281e+00
chr1	714064	714069	307	-2.907993e+00	-2.907993e+00
chr1	714070	714070	308	-3.463288e+00	-3.463288e+00
chr1	714071	714076	311	-2.785597e+00	-2.785597e+00
chr1	714077	714077	312	-2.766981e+00	-2.766981e+00
chr1	714078	714090	10	-5.847455e+03	-2.544700e+05
chr1	714091	714095	310	-2.056609e+00	-2.056609e+00
chr1	714096	714096	311	-2.091316e+00	-2.091316e+00
chr1	714097	714098	312	-2.100082e+00	-2.100082e+00
chr1	714099	714122	314	-2.074120e+00	-2.074120e+00
chr1	714123	714123	310	-2.349287e+00	-2.349287e+00
chr1	714124	714132	311	-2.200521e+00	-2.200521e+00
chr1	714133	714135	312	-2.252056e+00	-2.252056e+00
chr1	714136	714147	314	-2.112378e+00	-2.112378e+00
chr1	714148	714150	310	-2.397851e+00	-2.397851e+00
